actual,predicted
190.71,190.71
190.86,190.86
191.0,191.0
190.9,190.9
191.1,191.1
191.08,191.08
191.0,191.0
191.0,191.0
191.02,191.02
191.07,191.07
191.12,191.12
191.17,191.17
191.2,191.2
191.25,191.25
191.37,191.37
191.38,191.38
191.38,191.38
191.42,191.42
191.46,191.46
191.46,191.46
191.6,191.6
191.5,191.5
191.28,191.28
191.2,191.2
191.2,191.2
191.15,191.15
191.0,191.0
190.95,190.95
190.82,190.82
190.8,190.8
190.86,190.86
190.76,190.76
190.9,190.9
190.86,190.86
190.9,190.9
190.81,190.81
190.9,190.9
190.95,190.95
190.96,190.96
190.96,190.96
190.9,190.9
190.98,190.98
190.99,190.99
191.04,191.04
191.03,191.03
191.0,191.0
190.84,190.84
190.87,190.87
190.94,190.94
190.91,190.91
190.9,190.9
190.9,190.9
190.9,190.9
190.85,190.85
190.86,190.86
190.81,190.81
190.81,190.81
190.53,190.53
190.53,190.53
190.54,190.54
190.64,190.64
190.68,190.68
190.8,190.8
190.55,190.55
190.5,190.5
190.71,190.71
190.75,190.75
190.76,190.76
190.8,190.8
190.84,190.84
190.83,190.83
190.83,190.83
190.8,190.8
190.86,190.86
190.85,190.85
191.01,191.01
191.0,191.0
191.02,191.02
191.05,191.05
191.1,191.1
191.1,191.1
191.1,191.1
191.15,191.15
191.1,191.1
191.14,191.14
191.12,191.12
191.1,191.1
191.1,191.1
191.07,191.07
191.14,191.14
191.0,191.0
191.15,191.15
191.2,191.2
191.3,191.3
191.38,191.38
191.3001,191.3001
191.37,191.37
191.28,191.28
191.16,191.16
191.38,191.38
191.39,191.39
191.4,191.4
191.5,191.5
191.5,191.5
191.4,191.4
191.4,191.4
191.35,191.35
191.3,191.3
191.35,191.35
191.4398,191.4398
191.4,191.4
191.44,191.44
191.5,191.5
191.49,191.49
191.56,191.56
191.6799,191.6799
191.6,191.6
191.54,191.54
191.59,191.59
191.62,191.62
191.6238,191.6238
191.6137,191.6137
191.64,191.64
191.74,191.74
191.6801,191.6801
191.66,191.66
191.71,191.71
191.84,191.84
191.77,191.77
191.86,191.86
191.9697,191.9697
191.9,191.9
191.9,191.9
191.84,191.84
191.94,191.94
191.88,191.88
191.99,191.99
192.04,192.04
192.0983,192.0983
191.96,191.96
191.73,191.73
191.7493,191.7493
191.7315,191.7315
191.52,191.52
191.62,191.62
191.65,191.65
191.78,191.78
191.79,191.79
191.5501,191.5501
191.63,191.63
